Name,LUT,FF,MSE,MAE,WCE,MRED,EP,BIAS,NMAE,NMAE-EP,LUT+FF,NAREA,AREA,POWER,DELAY,PDAP
HEB,1974,38,0,0,0,0,0,0,0,0,2012,0.427357689,2614,2.4,3.05,19134.48
HFZ,662,0,12526988038,87011.55577,458703,29667.55668,98.43482971,7.875356742,0.002,130.6910351,662,0.1406117247,1935.9,1.483,2.55,7320.896235
GK2,944,48,1252699370,24580.25403,98369,12290.12721,92.18635559,-8.125236693,0.00057,34.57586729,992,0.2107051827,2640.3,2.124,2.95,16543.59174
GAT,460,0,477278240990,516096,2064384,258048.0037,98.43599796,7.876663199,0.012,775.1834839,460,0.09770603229,1932.6,1.396,2.57,6933.627672
HDG,1506,0,357913941.8,13653.33334,65535,5461.33347,74.99847412,0.3750114979,0.00032,15.62468212,1506,0.3198810535,2576.5,2.13,2.98,16354.0761
G80,1144,59,178956970.8,8192,32768,4096.000068,49.99923706,0.1250038159,0.00019,6.249904633,1203,0.2555225149,2764.2,2.326,3.09,19867.24523
G7F,840,49,6263493976,57344,229376,28672.00044,87.49866486,0.875084943,0.0013,76.56133175,889,0.1888275276,2495.7,1.961,2.87,14045.9743
G7Z,1142,57,178956971.8,8192.250008,32769,4096.125071,62.49923706,-0.1250038313,0.00019,7.812643056,1199,0.2546728972,2760.4,2.325,3.11,19959.7623
RCA,162,0,0,0,0,0,0,0,0,0,162,0.7431192661,141.7,0.072,1.28,13.059072
2GE,120,0,64.53125,6.517089844,23,0.000275685,95.3125,-3.00493E-05,0.0099,0.01895630267,120,0.5504587156,106.1,0.052,0.92,5.075824
25S,116,0,272.015625,14.23266602,38,0.000602504,98.44055176,-0.0005087005,0.02,0.04275730884,116,0.5321100917,112.2,0.051,0.84,4.806648
2AS,149,0,1281,29.98730469,86,0.001269354,99.0234375,-9.59003E-05,0.046,0.09062030004,149,0.6834862385,85.9,0.043,0.76,2.807212
2JB,116,0,312,15.00683594,38,0.000635035,97.94921875,-0.0003147386,0.023,0.04485802784,116,0.5321100917,97.1,0.048,0.87,4.054896
294,172,0,23.5,4.125,10,0.000174542,93.75,-4.22792E-05,0.0063,0.01180171967,172,0.7889908257,113.6,0.057,1.03,6.669456
2JY,138,0,5.5,2,4,8.4619E-05,87.5,2.113E-05,0.0031,0.005340576172,138,0.6330275229,120.1,0.062,1.08,8.041896
1Y7,128,0,30.00195313,4.531475067,14,0.00019529,93.75076294,-8.22714E-05,0.0069,0.01296475967,128,0.5871559633,111.2,0.057,1,6.3384
259,140,0,4,1.59375,5,6.7292E-05,81.25,2.03681E-05,0.0024,0.003951787949,140,0.6422018349,121.5,0.062,1.08,8.13564
26Q,158,0,0.5,0.5,1,2.1158E-05,50,0,0.00076,0.0007629394531,158,0.7247706422,138,0.071,1.25,12.2475
29A,158,0,86.75,8.0390625,18,0.000340097,96.875,9.6772E-06,0.012,0.02376660705,158,0.7247706422,104.7,0.052,0.92,5.008848
2E1,141,0,1248,32.00097656,65,0.001353551,99.8046875,2.16445E-05,0.049,0.09746848954,141,0.6467889908,86.8,0.043,0.79,2.948596
